communityName,state,population,popDens,numbUrban,pctUrban,medIncome,medRent,PctHousOccup,PctHousOwnOcc,PersPerOwnOccHous,PersPerRentOccHous,burglPerPop,larcPerPop,robbPerPop,theftComb
Bellairecity,TX,13842,3697.1,13842,100.0,45892,675,94.85,75.35,2.36,2.33,997.06,2388.92,160.6,3546.58
ElCajoncity,CA,88693,5943.0,88693,100.0,28108,548,95.47,40.71,2.64,2.63,1469.01,4634.68,260.94,6364.63
MosesLakecity,WA,11235,1189.1,0,0.0,23258,306,93.07,62.56,2.71,2.29,1581.06,7103.83,21.86,8706.75
WestMemphiscity,AR,28259,1900.7,28259,100.0,22052,343,94.04,57.74,2.88,2.77,707.01,2860.32,434.25,4001.58
Eunicecity,LA,11162,2323.5,0,0.0,14874,261,90.68,64.53,2.68,2.86,1852.66,2583.28,78.28,4514.22
Laredocity,TX,122899,3608.7,122899,100.0,18395,315,94.21,58.96,3.95,3.54,1126.13,4089.41,106.72,5322.26
Amsterdamcity,NY,20714,3353.7,0,0.0,22166,337,92.49,50.94,2.45,2.21,639.11,1567.81,14.98,2221.9
Gorhamtown,ME,11856,225.9,3929,33.1,36618,526,96.69,79.89,2.9,2.27,284.28,568.56,0.0,852.8399999999999
RockSpringscity,WY,19050,998.4,0,0.0,34372,348,88.47,67.27,2.81,2.31,1048.59,4342.05,29.54,5420.18
Oakdalecity,CA,11961,2853.3,0,0.0,27230,472,95.98,56.37,2.62,2.73,1163.8,3628.74,50.6,4843.14
Hendersoncity,NC,15655,2134.0,0,0.0,18499,316,93.34,52.29,2.46,2.63,3848.28,6893.8,447.33,11189.41
Norcocity,CA,23302,1641.4,23302,100.0,51594,714,96.66,82.4,3.29,3.19,1126.73,2237.3,117.11,3481.1400000000003
Greenvillecity,MS,45226,1672.6,0,0.0,18060,332,92.91,58.32,2.89,2.93,3921.35,5912.36,148.31,9982.019999999999
SanCarloscity,CA,26167,4486.8,26167,100.0,54658,810,97.41,72.37,2.48,2.06,542.25,2076.84,85.06,2704.15
SanAngelocity,TX,84474,1702.6,84474,100.0,23534,365,88.57,59.21,2.69,2.45,931.46,3687.11,43.14,4661.71
Barbertoncity,OH,27623,3513.5,27623,100.0,21688,340,94.47,64.26,2.56,2.32,738.19,3547.62,78.84,4364.65
Pontiaccity,MI,71166,3434.7,71166,100.0,21962,436,93.17,49.73,2.91,2.61,2109.86,2818.88,607.12,5535.86
Suffolkcity,VA,52141,125.8,39076,74.94,26125,376,92.53,67.75,2.8,2.73,1164.49,3558.36,288.42,5011.27
Martinsvillecity,VA,16162,1423.7,0,0.0,22446,320,93.56,60.67,2.44,2.2,1026.48,6133.82,137.7,7297.999999999999
Bricktownship,NJ,66473,2441.0,66473,100.0,38742,721,86.55,82.54,2.69,2.46,606.2,1773.32,40.9,2420.42
LagunaBeachcity,CA,23170,2575.6,23170,100.0,53419,879,86.31,59.78,2.23,1.84,1713.6,3635.15,91.5,5440.25
Robstowncity,TX,12849,1345.2,0,0.0,16180,265,86.6,68.98,3.53,3.63,2230.1,2392.56,22.15,4644.8099999999995
Wyomingcity,MI,63891,2539.0,63891,100.0,31103,429,96.46,67.43,2.85,2.18,970.18,3469.37,180.07,4619.62
Hastingscity,MN,15440,1641.9,0,0.0,36091,442,97.4,72.34,2.98,2.17,726.17,2232.98,12.1,2971.25
Paragouldcity,AR,18540,616.9,0,0.0,19985,280,94.03,67.53,2.49,2.34,622.47,2331.96,9.29,2963.7200000000003
BeverlyHillscity,CA,31971,5437.2,31971,100.0,54348,925,92.63,43.85,2.71,1.78,1417.63,5271.06,843.97,7532.660000000001
UniversityHeightscity,OH,14790,7812.2,14790,100.0,43376,559,97.45,77.25,2.71,1.8,432.99,1298.97,97.77,1829.73
Marioncity,OH,34075,4102.3,0,0.0,22439,337,92.53,61.48,2.63,2.45,1688.58,4409.86,106.44,6204.879999999999
Toledocity,OH,332943,3988.5,332943,100.0,24819,378,92.09,60.65,2.64,2.28,1698.29,4707.51,492.02,6897.82
Philadelphiacity,PA,1585577,11326.0,1585577,100.0,24603,452,89.36,61.95,2.75,2.25,988.14,2561.1,753.74,4302.98
Newtoncity,MA,82585,4413.0,82585,100.0,59719,884,96.58,68.91,2.79,2.19,558.12,1709.31,31.46,2298.89
OrmondBeachcity,FL,29721,1137.7,29721,100.0,32704,544,89.52,76.93,2.37,2.13,908.95,2940.9,74.45,3924.3
Lynchburgcity,VA,66049,1290.5,66049,100.0,23726,346,92.33,58.2,2.52,2.21,833.83,3448.48,159.32,4441.63
Clintoncity,MS,21847,885.5,21847,100.0,36770,438,94.61,68.26,2.95,2.41,740.51,1906.06,61.34,2707.91
Andersoncity,SC,26184,2042.4,26184,100.0,19433,327,91.36,52.26,2.37,2.36,1906.36,4098.0,449.74,6454.099999999999
ParkForestvillage,IL,24656,4826.9,24656,100.0,36995,479,96.58,69.66,2.7,2.53,488.94,2062.22,98.58,2649.74
ChippewaFallscity,WI,12727,1249.9,12727,100.0,23056,329,95.58,58.78,2.6,1.97,370.81,2862.65,7.42,3240.88
Beavercreekcity,OH,33626,1260.7,33626,100.0,49143,577,96.25,86.08,2.93,2.29,527.63,2717.32,52.76,3297.7100000000005
Keenecity,NH,22430,580.3,0,0.0,31235,542,94.91,58.09,2.67,2.07,688.61,3709.63,17.77,4416.01
Springfieldtownship,OH,13352,369.6,9827,73.6,32713,341,97.29,82.69,2.72,2.51,818.86,2446.48,96.04,3361.38
Swissvaleborough,PA,10637,8564.4,10637,100.0,23773,402,93.22,55.3,2.42,1.81,615.41,1893.58,170.42,2679.41
Knoxvillecity,TN,165121,2063.3,165121,100.0,19923,332,91.52,49.86,2.4,2.01,1638.17,3504.88,346.59,5489.64
Kernersvilletown,NC,10836,1451.0,0,0.0,25649,373,93.81,42.9,2.5,2.05,1118.32,4518.0,126.74,5763.0599999999995
Bloomingtoncity,MN,86335,2345.2,86335,100.0,41736,574,96.29,70.35,2.71,1.92,831.52,4254.13,75.59,5161.24
ScotchPlainstownship,NJ,21160,2250.1,21160,100.0,58194,782,97.46,81.45,2.91,2.13,469.79,1271.19,55.27,1796.25
Newingtontown,CT,29208,2139.7,29208,100.0,45481,716,96.67,81.0,2.65,2.13,492.44,2681.08,10.26,3183.78
Moberlycity,MO,12839,1227.9,0,0.0,20569,277,89.41,65.74,2.45,2.22,740.74,3853.43,39.4,4633.57
Sandycity,UT,75058,3625.3,75058,100.0,43971,500,96.58,87.34,3.94,3.21,774.07,2810.0,32.06,3616.13
Wheatoncity,IL,51464,4486.1,51464,100.0,52208,646,95.38,74.54,2.93,2.19,406.32,1939.24,16.62,2362.18
WhiteLaketownship,MI,22608,648.8,18750,82.94,42549,543,94.06,89.13,2.91,2.53,675.91,2660.58,12.92,3349.41
Chickashacity,OK,14988,1057.3,0,0.0,18357,303,85.28,66.47,2.37,2.43,1895.21,3003.48,98.37,4997.06
Tucsoncity,AZ,405390,2503.8,405312,99.98,21748,377,88.74,51.44,2.59,2.24,1636.29,7128.3,198.68,8963.27
Gallowaytownship,NJ,23330,249.1,14937,64.02,41944,727,89.49,68.94,2.8,2.45,1113.81,2332.3,41.87,3487.98
Sweetwatercity,TX,11967,1329.7,0,0.0,19157,282,86.35,66.37,2.57,2.62,1753.52,3695.51,73.75,5522.780000000001
Portsmouthcity,NH,25925,1602.6,25925,100.0,30591,553,90.85,41.88,2.44,2.35,818.14,3353.91,66.98,4239.03
Hulltown,MA,10466,3397.6,10466,100.0,37683,797,72.07,66.9,2.85,2.5,943.57,907.62,0.0,1851.19
Scotttownship,PA,17118,4180.8,17118,100.0,34644,520,95.86,67.78,2.46,1.73,356.12,1010.91,11.49,1378.52
Pittsfieldtownship,MI,17668,606.6,12456,70.5,34639,585,90.07,39.76,2.95,1.93,1410.16,6626.64,236.86,8273.66
Duncanvillecity,TX,35748,3057.5,35748,100.0,41028,529,93.64,67.72,2.96,2.62,1115.06,3199.74,150.83,4465.629999999999
Mexicocity,MO,11290,1098.7,0,0.0,23744,285,91.41,67.81,2.38,2.29,661.96,1588.7,26.48,2277.14
NewProvidenceborough,NJ,11439,3001.1,11439,100.0,62420,757,98.06,75.52,2.87,2.06,99.12,768.21,24.78,892.11
Barnstabletown,MA,40949,658.2,34156,83.39,33411,673,71.04,70.86,2.47,2.23,1422.53,1555.67,67.74,3045.9399999999996
Rutherfordborough,NJ,17790,6118.4,17790,100.0,46499,681,92.58,68.15,2.84,2.05,280.71,1381.09,28.07,1689.87
Portlandcity,OR,437319,3386.2,437398,100.0,25592,397,94.4,52.98,2.47,2.05,1710.56,5890.68,502.59,8103.83
Manassascity,VA,27957,2695.4,27957,100.0,46674,695,92.66,66.11,2.95,2.74,437.98,3314.39,170.84,3923.21
Torrancecity,CA,133107,6260.9,133107,100.0,47204,795,95.79,56.29,2.7,2.27,1138.83,2948.59,309.54,4396.96
SouthJordancity,UT,12220,585.8,12220,100.0,43804,512,98.06,91.06,4.38,3.72,728.66,2307.43,17.35,3053.4399999999996
RedwoodCitycity,CA,66072,3349.1,66072,100.0,42962,728,94.96,50.78,2.54,2.51,753.02,2753.72,155.59,3662.33
Lancastertownship,PA,13187,2104.5,12895,97.79,35855,534,96.4,59.31,2.57,1.95,589.02,2288.99,52.19,2930.2
Algonquinvillage,IL,11663,2148.7,11705,100.0,53665,527,97.48,89.42,3.11,2.15,349.81,1528.52,15.21,1893.54
Sebastiancity,FL,10205,785.2,0,0.0,26654,557,89.87,82.22,2.37,2.89,1283.36,2354.24,8.5,3646.0999999999995
GrandForkscity,ND,49425,3304.7,49425,100.0,25456,367,94.6,48.71,2.84,2.04,464.26,4368.79,27.78,4860.83
NewHaventown,CT,130474,6679.9,130474,100.0,25811,568,90.62,31.78,2.65,2.3,2856.93,6453.8,1035.08,10345.81
Westwegocity,LA,11218,3399.4,11218,100.0,18095,316,89.89,56.62,2.66,2.66,1291.38,4001.46,309.2,5602.04
Doltonvillage,IL,23930,5104.5,23930,100.0,36724,526,97.01,83.78,2.9,2.45,864.98,4180.08,313.81,5358.87
Munstertown,IN,19949,2553.6,19949,100.0,48483,558,97.74,88.83,2.82,1.95,286.66,2419.59,29.15,2735.4
Newberrytown,SC,10542,1633.9,0,0.0,19063,278,93.05,61.75,2.42,2.61,773.07,4383.9,141.42,5298.389999999999
NorthTonawandacity,NY,34989,3344.0,34989,100.0,29576,388,97.39,67.94,2.83,1.98,538.42,1892.07,27.38,2457.87
Redlandscity,CA,60394,2398.1,60394,100.0,37073,588,94.81,59.24,2.79,2.45,1503.47,2498.07,231.3,4232.84
Avondalecity,AZ,16169,705.2,0,0.0,24292,393,88.13,60.91,3.29,3.14,2811.83,3714.79,107.61,6634.23
Lafayettecity,CO,14548,2035.3,0,0.0,34182,523,93.37,71.96,2.77,2.51,626.94,3061.28,33.89,3722.11
Oshkoshcity,WI,55006,2959.7,55006,100.0,25168,379,96.01,56.98,2.55,2.17,845.07,4631.1,12.35,5488.52
Tukwilacity,WA,11874,1404.9,11874,100.0,30141,488,94.42,39.32,2.36,1.92,2353.77,19401.0,547.39,22302.16
Dublincity,CA,23229,2618.2,23229,100.0,53710,884,97.28,65.13,2.96,2.69,456.78,1865.17,60.9,2382.85
Breacity,CA,32873,3178.0,32873,100.0,51253,749,96.65,63.51,2.91,2.28,886.76,4364.92,146.36,5398.04
NorthAugustacity,SC,15351,904.5,15366,100.0,32877,422,92.13,63.34,2.59,2.16,962.57,2831.1,101.92,3895.59
Tallahasseecity,FL,124773,1903.4,124773,100.0,23453,444,91.35,45.17,2.48,2.08,2924.3,7882.35,581.91,11388.560000000001
Princetonborough,NJ,12016,6306.9,0,0.0,43092,740,92.91,43.19,2.38,2.0,813.69,4085.23,33.55,4932.47
Menomoniecity,WI,13547,1161.2,0,0.0,21392,366,95.24,44.64,2.51,2.42,717.66,5229.58,13.29,5960.53
Sturgiscity,MI,10130,1925.9,0,0.0,23642,322,95.35,61.64,2.71,2.16,543.89,2958.02,19.08,3520.99
Alpharettacity,GA,13002,659.9,12814,98.55,44335,630,89.43,57.0,2.67,2.15,445.03,1592.73,0.0,2037.76
Jeffersontownship,NJ,17825,422.4,7850,44.04,48889,788,88.97,85.78,2.89,2.3,438.67,812.35,5.42,1256.44
StevensPointcity,WI,23006,1660.1,0,0.0,22194,379,95.57,51.58,2.47,2.29,732.28,5513.06,0.0,6245.34
Woodlandcity,CA,39802,4187.9,0,0.0,31671,484,95.82,57.19,2.81,2.66,1122.92,2371.38,74.4,3568.7000000000003
NorthBrunswicktownship,NJ,31287,2508.1,31287,100.0,49900,735,94.82,64.55,2.77,2.16,791.48,2294.69,128.85,3215.02
Springfieldcity,OH,70487,3485.1,70487,100.0,21407,351,92.17,55.8,2.53,2.41,1362.13,5725.76,294.21,7382.1
Richfieldcity,MN,35710,5009.5,35710,100.0,32405,457,96.63,66.92,2.53,1.79,1070.38,3239.91,112.22,4422.51
Corsicanacity,TX,22911,1062.7,0,0.0,21238,337,89.05,61.03,2.49,2.62,1641.17,5257.75,162.83,7061.75
Wabashcity,IN,12127,2204.9,0,0.0,25141,305,95.06,65.83,2.62,2.26,590.66,1537.34,8.09,2136.09
Woostercity,OH,22191,1813.5,0,0.0,27148,363,95.39,57.48,2.6,2.1,649.18,3170.82,30.91,3850.91
LosAngelescity,CA,3485398,7168.1,3485398,100.0,30925,600,93.65,39.42,2.87,2.76,1449.19,3435.8,1108.27,5993.26
Harrisontown,NJ,13425,10587.5,13425,100.0,33969,598,94.88,33.37,2.88,2.62,1268.88,2084.59,249.24,3602.71
Swanseatown,MA,15411,644.9,10135,65.76,40117,484,96.0,87.8,2.99,2.29,123.12,1422.06,98.5,1643.6799999999998
Superiorcity,WI,27134,709.0,27134,100.0,20905,295,94.15,61.19,2.55,2.07,1249.64,5052.58,54.02,6356.240000000001
Monroecity,MI,22902,2458.4,0,0.0,29088,412,95.36,60.39,2.76,2.4,849.37,3129.91,93.43,4072.7099999999996
Madisontownship,OH,18749,401.2,13176,69.9,35575,434,97.03,77.36,2.93,2.66,415.7,1521.09,9.45,1946.24
Seasidecity,CA,38901,4254.3,38893,100.0,28655,630,94.69,37.99,2.78,3.3,673.94,2609.21,374.07,3657.2200000000003
Grapevinecity,TX,29202,901.6,29171,99.89,48901,484,92.12,62.64,2.86,2.27,561.96,2076.59,40.14,2678.69
Columbiacity,MO,69101,1504.7,69101,100.0,22059,382,93.79,43.76,2.54,2.06,764.22,4727.17,144.55,5635.9400000000005
Lebanoncity,OR,10950,2193.5,0,0.0,20711,344,95.13,58.47,2.51,2.45,1109.17,7789.18,16.68,8915.03
WestChesterborough,PA,18041,9469.3,18041,100.0,31262,544,94.63,39.36,2.65,2.23,624.4,3455.39,153.46,4233.25
Eatontownborough,NJ,13800,2251.7,13800,100.0,36864,613,89.32,45.11,2.67,2.16,565.58,4532.25,99.36,5197.19
Parkersburgcity,WV,33862,2926.2,33809,100.0,20461,330,88.51,62.93,2.39,2.16,1044.87,2469.14,54.2,3568.2099999999996
Spokanecity,WA,177196,3058.9,177196,100.0,22192,344,94.08,57.23,2.46,2.06,1377.35,5595.64,180.65,7153.639999999999
Durangocity,CO,12430,2561.8,0,0.0,22996,435,93.47,54.44,2.52,2.16,851.18,6554.12,63.84,7469.14
Aberdeencity,WA,16565,1510.9,0,0.0,21762,314,91.84,57.03,2.47,2.17,1155.93,7204.16,116.76,8476.85
Sumtercity,SC,41943,1780.0,41945,100.0,21221,354,93.31,47.39,2.68,2.87,1889.08,3778.16,417.46,6084.7
Burrillvilletown,RI,16230,281.9,302,1.86,37156,469,92.38,76.23,3.11,2.33,376.37,716.89,0.0,1093.26
AnnArborcity,MI,109592,4085.0,109592,100.0,33344,568,94.65,43.2,2.59,2.13,1006.18,3684.75,117.89,4808.820000000001
Derrytown,NH,29603,798.4,0,0.0,43419,638,90.72,62.79,3.01,2.26,852.44,2012.44,23.4,2888.28
Daniacity,FL,13024,2442.6,13024,100.0,23269,484,75.26,55.75,2.1,2.29,3794.52,10005.65,989.26,14789.43
Salemcity,OH,12233,2570.0,0,0.0,23684,330,94.51,64.47,2.55,2.17,31.01,690.08,0.0,721.09
Greendalevillage,WI,15128,2608.5,15128,100.0,44735,515,97.04,71.46,2.93,2.16,156.02,4382.04,33.92,4571.9800000000005
UnionCitycity,NJ,58012,44229.9,58012,100.0,25655,505,91.24,21.76,2.84,2.79,1590.11,2068.9,507.07,4166.08
FosterCitycity,CA,28176,7232.0,28176,100.0,60462,969,95.43,60.12,2.75,2.14,374.75,1775.83,57.39,2207.97
Flintcity,MI,140761,4015.8,140761,100.0,20176,375,91.78,58.09,2.59,2.52,2896.34,5542.92,747.84,9187.1
NewBrunswickcity,NJ,41711,7709.4,41711,100.0,28289,640,93.77,32.33,2.71,2.69,1921.41,4722.76,749.76,7393.93
Houmacity,LA,30495,2172.0,30495,100.0,19397,319,92.87,64.51,2.87,2.73,939.47,2716.86,247.56,3903.89
EastPaloAltocity,CA,23451,8883.0,23451,100.0,29206,586,94.59,41.71,3.57,3.12,1412.9,1493.74,746.87,3653.51
Brentwoodcity,TN,16392,544.6,16392,100.0,70287,807,95.68,92.93,3.12,2.74,393.92,1839.84,9.27,2243.0299999999997
LeagueCitycity,TX,30159,566.3,29967,99.49,45043,555,93.01,70.96,2.96,2.52,881.0,2338.75,37.04,3256.79
NewIberiacity,LA,31828,3024.3,0,0.0,18506,291,89.67,61.12,2.81,2.83,1558.99,4121.88,144.68,5825.55
Astontownship,PA,15080,2534.6,15080,100.0,44083,536,97.89,88.99,2.97,2.23,339.05,1421.4,39.12,1799.57
GloucesterCitycity,NJ,12649,5549.8,12649,100.0,28998,455,93.25,73.55,2.83,2.5,836.82,2003.54,56.32,2896.6800000000003
Shalertownship,PA,30533,2653.4,30533,100.0,36972,460,98.13,85.79,2.71,2.08,148.12,943.46,12.88,1104.46
Arnoldcity,MO,18828,1615.9,18828,100.0,34179,465,95.39,78.54,2.85,2.66,488.72,2473.22,49.37,3011.3099999999995
Goshentownship,OH,12697,355.3,5987,47.15,31617,408,97.03,88.97,2.98,3.0,498.31,1065.62,7.67,1571.6
Chestercity,PA,41856,8345.8,41856,100.0,20864,392,88.04,53.11,2.84,2.63,2423.35,3779.22,1360.92,7563.49
UnionCitycity,TN,10513,1158.3,0,0.0,20745,301,93.4,56.96,2.49,2.26,2420.38,6424.02,109.19,8953.590000000002
Tampacity,FL,280015,2487.1,280015,100.0,22772,408,88.52,55.46,2.46,2.22,3100.23,6393.64,1022.83,10516.7
Dallascity,TX,1006877,2838.4,1006831,100.0,27489,426,86.35,44.1,2.7,2.28,2012.79,5199.46,712.03,7924.28
Searcycity,AR,15180,1076.0,0,0.0,20859,314,94.04,59.66,2.48,2.22,595.56,3169.05,21.86,3786.4700000000003
Bellinghamcity,WA,52179,2287.7,52278,100.0,24714,426,95.82,50.94,2.46,2.07,11881.02,5475.46,75.78,17432.26
BullheadCitycity,AZ,21951,491.9,0,0.0,24814,529,65.59,62.43,2.2,2.55,2008.6,4607.34,113.76,6729.700000000001
CulverCitycity,CA,38793,7336.0,38793,100.0,42971,788,95.41,55.53,2.37,2.3,1028.29,3672.47,772.48,5473.24
Newbergcity,OR,13086,3015.2,0,0.0,26974,411,97.2,58.7,2.77,2.62,611.11,3539.05,20.15,4170.3099999999995
Readingcity,PA,78380,7732.5,78380,100.0,22112,352,91.62,55.92,2.55,2.3,1940.67,4289.63,708.13,6938.43
Rustoncity,LA,20027,1118.3,0,0.0,17826,329,90.4,49.81,2.6,2.21,1437.18,7501.98,187.67,9126.83
Richmondcity,CA,87425,2838.8,87425,100.0,32165,566,94.84,54.47,2.68,2.58,2435.91,4283.48,1105.38,7824.7699999999995
Methuentown,MA,39990,1722.8,37998,95.02,37701,567,94.86,69.2,2.88,2.25,626.41,2435.23,104.4,3166.04
Florissantcity,MO,51206,4843.5,51206,100.0,36809,492,96.87,78.99,2.75,2.12,395.4,2034.87,71.37,2501.64
WestFargocity,ND,12287,1674.9,12287,100.0,29661,338,96.85,63.93,3.15,2.11,520.42,2486.45,0.0,3006.87
Douglascity,AZ,12822,2616.7,0,0.0,14994,273,92.7,63.15,3.2,3.12,1103.69,4759.23,35.15,5898.07
Selmacity,AL,23755,1647.8,0,0.0,15917,264,91.37,53.35,2.63,2.65,2374.72,7430.07,338.1,10142.89
Nortoncity,OH,11475,552.6,11475,100.0,34198,441,97.32,89.9,2.82,2.58,574.57,2036.33,42.25,2653.15
Missioncity,TX,28653,1990.9,28653,100.0,17489,247,78.02,71.55,3.37,3.54,1164.45,3988.76,30.64,5183.85
Middletownship,NJ,14771,200.0,0,0.0,30524,546,76.7,82.01,2.62,2.65,1071.43,2830.69,19.84,3921.96
MountLaureltownship,NJ,30270,1339.6,28209,93.19,50843,758,93.9,81.9,2.62,2.12,645.49,1236.12,32.27,1913.8799999999999
Greeleycity,CO,60536,2057.1,60359,99.71,23462,354,94.4,53.86,2.69,2.29,1026.05,5095.31,38.0,6159.360000000001
CostaMesacity,CA,96357,5980.4,96357,100.0,40313,810,94.59,40.17,2.6,2.45,1263.62,4971.59,186.01,6421.22
LosAlamitoscity,CA,11676,2798.7,11676,100.0,45171,829,96.12,43.23,2.82,2.68,1184.46,2310.94,149.09,3644.4900000000002
SouthOrangeVillagetownship,NJ,16390,5529.7,16390,100.0,64338,716,94.35,75.01,3.0,1.9,1344.7,2989.55,492.26,4826.51
RedBluffcity,CA,12363,1641.4,0,0.0,19474,356,95.06,50.21,2.51,2.43,793.95,5759.87,119.84,6673.66
Plainfieldtown,IN,10433,2705.7,0,0.0,34466,453,96.68,66.78,2.65,2.11,437.48,2079.63,12.68,2529.79
Fredericksburgcity,VA,19027,1746.9,19027,100.0,26614,530,92.4,37.3,2.41,2.13,455.7,2819.1,120.63,3395.43
Colleyvillecity,TX,12724,937.0,12724,100.0,77530,647,95.01,94.36,3.12,2.85,164.04,1211.77,5.29,1381.1
Pittsburgcity,CA,47564,4222.7,47564,100.0,38532,622,93.62,61.4,3.11,2.88,1719.03,2587.15,380.52,4686.700000000001
MissionViejocity,CA,72820,4027.7,72820,100.0,61058,969,95.38,80.0,2.93,2.69,815.59,1827.05,37.99,2680.6299999999997
LongBeachcity,CA,429433,8287.7,429433,100.0,31938,605,93.3,40.96,2.55,2.65,1554.92,3235.53,852.46,5642.910000000001
Duluthcity,MN,85493,1220.6,85493,100.0,23370,312,95.95,64.45,2.58,1.94,1013.2,3852.28,62.51,4927.990000000001
Shelbycity,NC,14669,1612.7,0,0.0,19829,343,93.93,52.75,2.33,2.36,2825.67,5831.83,435.68,9093.18
Coronacity,CA,76095,2579.1,76095,100.0,43555,659,90.13,63.94,3.21,3.08,1662.29,3319.23,253.84,5235.360000000001
Beverlycity,MA,38195,2388.0,38195,100.0,39603,640,94.53,58.91,2.79,2.04,1380.69,1511.57,35.93,2928.19
CoralSpringscity,FL,79443,3265.0,79443,100.0,43428,661,90.7,62.4,3.16,2.58,732.78,3165.08,44.67,3942.5299999999997
NorthBranfordtown,CT,12996,503.3,10295,79.22,50798,765,97.2,87.57,2.98,2.33,531.96,1314.69,7.6,1854.25
Geneseetownship,MI,24093,791.2,20392,84.64,30160,395,95.25,84.31,2.75,2.66,1123.01,1943.04,60.59,3126.6400000000003
SanBrunocity,CA,38961,5846.5,38961,100.0,42019,763,96.46,62.5,2.66,2.45,466.18,3454.62,134.95,4055.7499999999995
Valdostacity,GA,39806,1451.1,0,0.0,21864,359,90.61,50.1,2.72,2.59,1649.42,4348.87,358.76,6357.05
OklahomaCitycity,OK,444719,705.8,439140,98.74,25741,364,84.13,59.51,2.54,2.28,2144.85,6287.86,369.77,8802.48
PortLavacacity,TX,10886,1642.4,0,0.0,21946,333,87.59,63.07,2.88,2.75,1317.13,3713.46,67.98,5098.57
Alicecity,TX,19788,1631.1,0,0.0,18962,306,88.51,67.59,3.1,2.97,1874.61,4631.1,48.19,6553.9
Sterlingcity,CO,10362,1853.0,0,0.0,20189,273,90.11,61.01,2.43,2.15,634.59,3542.34,9.47,4186.400000000001
Coronadocity,CA,26540,3324.1,26540,100.0,47790,805,80.12,50.16,2.29,2.26,975.39,2515.95,86.6,3577.9399999999996
